ts_epoch,vmrss_kb,vmhwm_kb,threads,fds,vm_size_kb,mmc_writes_completed,mmc_sectors_written,mmc_ms_writing,loop_writes_completed,loop_sectors_written,loop_ms_writing
1789770337,25624,25624,8,10,1274668,8220,16058128,42661,6751,505536,16007
1789770338,25624,25624,8,10,1274668,8220,16058128,42661,6751,505536,16007
1789770339,25624,25624,8,10,1274668,8220,16058128,42661,6751,505536,16007
1789770340,25624,25624,8,10,1274668,8220,16058128,42661,6751,505536,16007
1789770341,25752,25752,8,10,1274668,8223,16058152,42669,6751,505536,16007
1789770342,25752,25752,8,10,1274668,8223,16058152,42669,6751,505536,16007
1789770343,25756,25756,8,10,1274668,8223,16058152,42669,6751,505536,16007
1789770344,25756,25756,8,10,1274668,8223,16058152,42669,6751,505536,16007
1789770345,25760,25760,8,11,1274668,8223,16058152,42669,6751,505536,16007
1789770346,25784,25784,8,11,1274668,8239,16058256,42675,6767,505640,16013
1789770347,25784,25784,8,11,1274668,8239,16058256,42675,6767,505640,16013
1789770348,25784,25784,8,10,1274668,8239,16058256,42675,6767,505640,16013
1789770349,25784,25784,8,10,1274668,8239,16058256,42675,6767,505640,16013
1789770350,25784,25784,8,11,1274668,8239,16058256,42675,6767,505640,16013
1789770351,25784,25784,8,11,1274668,8239,16058256,42675,6767,505640,16013
1789770352,25784,25784,8,11,1274668,8239,16058256,42675,6767,505640,16013
1789770353,25784,25784,8,10,1274668,8239,16058256,42675,6767,505640,16013
1789770354,25784,25784,8,10,1274668,8239,16058256,42675,6767,505640,16013
1789770355,25784,25784,8,11,1274668,8247,16058344,42684,6771,505704,16016
1789770356,25784,25784,8,11,1274668,8247,16058344,42684,6771,505704,16016
1789770357,25808,25808,8,11,1274668,8263,16058448,42690,6787,505808,16022
1789770358,25832,25832,8,10,1274668,8263,16058448,42690,6787,505808,16022
1789770359,25832,25832,8,10,1274668,8263,16058448,42690,6787,505808,16022
1789770360,25832,25832,8,10,1274668,8263,16058448,42690,6787,505808,16022
1789770361,25832,25832,8,10,1274668,8263,16058448,42690,6787,505808,16022
1789770362,25832,25832,8,10,1274668,8263,16058448,42690,6787,505808,16022
1789770363,25832,25832,8,10,1274668,8263,16058448,42690,6787,505808,16022
1789770364,25832,25832,8,10,1274668,8263,16058448,42690,6787,505808,16022
1789770365,25832,25832,8,10,1274668,8263,16058448,42690,6787,505808,16022
1789770366,25832,25832,8,10,1274668,8263,16058448,42690,6787,505808,16022
1789770367,25832,25832,8,10,1274668,8263,16058448,42690,6787,505808,16022
1789770368,25832,25832,8,10,1274668,8263,16058448,42690,6787,505808,16022
1789770369,25872,25872,8,12,1274668,8272,16058504,42693,6796,505864,16025
1789770370,26180,26180,8,10,1274668,8279,16058552,42696,6803,505912,16028
1789770371,26180,26180,8,10,1274668,8279,16058552,42696,6803,505912,16028
1789770372,26184,26184,8,10,1274668,8279,16058552,42696,6803,505912,16028
1789770373,26184,26184,8,10,1274668,8279,16058552,42696,6803,505912,16028
1789770374,26184,26184,8,11,1274668,8279,16058552,42696,6803,505912,16028
1789770375,26184,26184,8,11,1274668,8279,16058552,42696,6803,505912,16028
1789770376,26184,26184,8,11,1274668,8279,16058552,42696,6803,505912,16028
1789770377,26184,26184,8,10,1274668,8279,16058552,42696,6803,505912,16028
1789770378,26184,26184,8,10,1274668,8279,16058552,42696,6803,505912,16028
1789770379,26184,26184,8,11,1274668,8279,16058552,42696,6803,505912,16028
1789770380,26184,26184,8,11,1274668,8279,16058552,42696,6803,505912,16028
1789770381,26184,26184,8,11,1274668,8279,16058552,42696,6803,505912,16028
1789770382,26184,26184,8,10,1274668,8279,16058552,42696,6803,505912,16028
1789770384,26184,26184,8,10,1274668,8296,16058656,42702,6820,506016,16034
1789770385,26184,26184,8,11,1274668,8296,16058656,42702,6820,506016,16034
1789770386,26184,26184,8,11,1274668,8296,16058656,42702,6820,506016,16034
1789770387,26184,26184,8,11,1274668,8296,16058656,42702,6820,506016,16034
1789770388,26192,26192,8,10,1274668,8296,16058656,42702,6820,506016,16034
1789770389,26192,26192,8,10,1274668,8296,16058656,42702,6820,506016,16034
1789770390,26192,26192,8,10,1274668,8296,16058656,42702,6820,506016,16034
1789770391,26192,26192,8,10,1274668,8296,16058656,42702,6820,506016,16034
1789770392,26192,26192,8,10,1274668,8296,16058656,42702,6820,506016,16034
1789770393,26192,26192,8,10,1274668,8296,16058656,42702,6820,506016,16034
1789770394,26192,26192,8,10,1274668,8296,16058656,42702,6820,506016,16034
1789770395,26192,26192,8,10,1274668,8296,16058656,42702,6820,506016,16034
1789770396,26192,26192,8,10,1274668,8296,16058656,42702,6820,506016,16034
1789770397,26192,26192,8,12,1274668,8296,16058656,42702,6820,506016,16034
1789770398,26192,26192,8,10,1274668,8314,16058760,42709,6838,506120,16040
1789770399,26192,26192,8,10,1274668,8314,16058760,42709,6838,506120,16040
1789770400,26192,26192,8,10,1274668,8314,16058760,42709,6838,506120,16040
1789770401,26196,26196,8,10,1274668,8314,16058760,42709,6838,506120,16040
1789770402,26196,26196,8,10,1274668,8314,16058760,42709,6838,506120,16040
1789770403,26196,26196,8,10,1274668,8314,16058760,42709,6838,506120,16040
1789770404,26204,26204,8,11,1274668,8314,16058760,42709,6838,506120,16040
1789770405,26204,26204,8,11,1274668,8314,16058760,42709,6838,506120,16040
1789770406,26204,26204,8,11,1274668,8314,16058760,42709,6838,506120,16040
1789770407,26236,26236,8,11,1274668,8314,16058760,42709,6838,506120,16040
1789770408,26236,26236,8,10,1274668,8314,16058760,42709,6838,506120,16040
1789770409,26236,26236,8,11,1274668,8314,16058760,42709,6838,506120,16040
1789770410,26236,26236,8,11,1274668,8314,16058760,42709,6838,506120,16040
