inj,mode,url,expect,elapsed_s,balance_sats_before,balance_sats_after,store_sha_before,store_sha_after,store_ok,pid_before,pid_after,service_alive,cli_rc,err_reported,verdict,cli_json
INJ-1a,refused,http://192.168.1.2:18081,typed error; store unchanged; service alive,0,0,0,6218d5f05a5871a464a2656da9b95822f2090b831b20dfc7b21f6c5df495bf03,6218d5f05a5871a464a2656da9b95822f2090b831b20dfc7b21f6c5df495bf03,yes,7129,7129,yes,0,yes,PASS,"{  \"success\": false,  \"error\": \"Failed to fund wallet: failed to receive token: Token rejected. Token for mint http://192.168.1.2:18081 is not accepted and wallet does not allow swapping of untrusted mints. Accepted: [https://mint.coinos.io https://mint.minibits.cash/Bitcoin https://mint.lnserver.com https://mint.macadamia.cash https://mint.westernbtc.com https://kashu.me https://mint.cubabit"
INJ-1b,slow,http://192.168.1.2:18080,times out; store unchanged; service alive,75,0,0,6218d5f05a5871a464a2656da9b95822f2090b831b20dfc7b21f6c5df495bf03,6218d5f05a5871a464a2656da9b95822f2090b831b20dfc7b21f6c5df495bf03,yes,7129,7129,yes,124,yes,PASS,""
INJ-2,http-500,http://192.168.1.2:18080,5xx retryable, not terminal spent; store unchanged,62,0,0,6218d5f05a5871a464a2656da9b95822f2090b831b20dfc7b21f6c5df495bf03,6218d5f05a5871a464a2656da9b95822f2090b831b20dfc7b21f6c5df495bf03,yes,7129,7129,yes,0,yes,PASS,"{  \"success\": false,  \"error\": \"Failed to fund wallet: failed to receive token: could not get active keyset: error getting active keysets from mint: mint http://192.168.1.2:18080/v1/keysets returned server error (HTTP 500): {\"detail\": \"injected server error\"}\",  \"timestamp\": \"2026-09-19T00:32:40.231461644Z\"}"
INJ-3a,malformed,http://192.168.1.2:18080,typed parse error before any state change,0,0,0,6218d5f05a5871a464a2656da9b95822f2090b831b20dfc7b21f6c5df495bf03,6218d5f05a5871a464a2656da9b95822f2090b831b20dfc7b21f6c5df495bf03,yes,7129,7129,yes,0,yes,PASS,"{  \"success\": false,  \"error\": \"Failed to fund wallet: failed to receive token: could not get active keyset: could not find an active keyset for the unit\",  \"timestamp\": \"2026-09-19T00:32:42.537336487Z\"}"
INJ-3b,truncated,http://192.168.1.2:18080,typed parse error before any state change,0,0,0,6218d5f05a5871a464a2656da9b95822f2090b831b20dfc7b21f6c5df495bf03,6218d5f05a5871a464a2656da9b95822f2090b831b20dfc7b21f6c5df495bf03,yes,7129,7129,yes,0,yes,PASS,"{  \"success\": false,  \"error\": \"Failed to fund wallet: failed to receive token: could not get active keyset: error getting active keysets from mint: error reading response from mint: unexpected end of JSON input\",  \"timestamp\": \"2026-09-19T00:32:44.852819988Z\"}"
