inj,mode,url,expect,elapsed_s,balance_before,balance_after,store_sha_before,store_sha_after,store_ok,pid_before,pid_after,service_alive,cli_rc,err_reported,verdict,cli_json
INJ-1a,refused,http://192.168.1.2:18081,typed error; store unchanged; service alive,0,{  "success": true,  "message": "Total wallet balance: 0 sats",  "data": {    "balance_sats": 0  },  "timestamp": "2026-09-19T00:26:22.053300271Z"},{  "success": true,  "message": "Total wallet balance: 0 sats",  "data": {    "balance_sats": 0  },  "timestamp": "2026-09-19T00:26:22.717101256Z"},eefa3a803dbb069c83686c665e1953d6c8ac9a42a2be3f7efe7950aa02d80a55,eefa3a803dbb069c83686c665e1953d6c8ac9a42a2be3f7efe7950aa02d80a55,yes,6528,6528,yes,0,yes,FAIL,"{  \"success\": false,  \"error\": \"Failed to fund wallet: failed to receive token: Token rejected. Token for mint http://192.168.1.2:18081 is not accepted and wallet does not allow swapping of untrusted mints. Accepted: [https://mint.coinos.io https://mint.minibits.cash/Bitcoin https://mint.lnserver.com https://mint.macadamia.cash https://mint.westernbtc.com https://kashu.me https://mint.cubabit"
INJ-1b,slow,http://192.168.1.2:18080,times out; store unchanged; service alive,75,{  "success": true,  "message": "Total wallet balance: 0 sats",  "data": {    "balance_sats": 0  },  "timestamp": "2026-09-19T00:26:24.400072305Z"},{  "success": true,  "message": "Total wallet balance: 0 sats",  "data": {    "balance_sats": 0  },  "timestamp": "2026-09-19T00:27:39.951252816Z"},eefa3a803dbb069c83686c665e1953d6c8ac9a42a2be3f7efe7950aa02d80a55,eefa3a803dbb069c83686c665e1953d6c8ac9a42a2be3f7efe7950aa02d80a55,yes,6528,6528,yes,124,yes,FAIL,""
INJ-2,http-500,http://192.168.1.2:18080,5xx retryable, not terminal spent; store unchanged,62,{  "success": true,  "message": "Total wallet balance: 0 sats",  "data": {    "balance_sats": 0  },  "timestamp": "2026-09-19T00:27:41.560207968Z"},{  "success": true,  "message": "Total wallet balance: 0 sats",  "data": {    "balance_sats": 0  },  "timestamp": "2026-09-19T00:28:43.629671994Z"},eefa3a803dbb069c83686c665e1953d6c8ac9a42a2be3f7efe7950aa02d80a55,eefa3a803dbb069c83686c665e1953d6c8ac9a42a2be3f7efe7950aa02d80a55,yes,6528,6528,yes,0,yes,FAIL,"{  \"success\": false,  \"error\": \"Failed to fund wallet: failed to receive token: could not get active keyset: error getting active keysets from mint: mint http://192.168.1.2:18080/v1/keysets returned server error (HTTP 500): {\"detail\": \"injected server error\"}\",  \"timestamp\": \"2026-09-19T00:28:43.307466215Z\"}"
INJ-3a,malformed,http://192.168.1.2:18080,typed parse error before any state change,0,{  "success": true,  "message": "Total wallet balance: 0 sats",  "data": {    "balance_sats": 0  },  "timestamp": "2026-09-19T00:28:45.190073478Z"},{  "success": true,  "message": "Total wallet balance: 0 sats",  "data": {    "balance_sats": 0  },  "timestamp": "2026-09-19T00:28:45.800282784Z"},eefa3a803dbb069c83686c665e1953d6c8ac9a42a2be3f7efe7950aa02d80a55,eefa3a803dbb069c83686c665e1953d6c8ac9a42a2be3f7efe7950aa02d80a55,yes,6528,6528,yes,0,yes,FAIL,"{  \"success\": false,  \"error\": \"Failed to fund wallet: failed to receive token: could not get active keyset: could not find an active keyset for the unit\",  \"timestamp\": \"2026-09-19T00:28:45.4456283Z\"}"
INJ-3b,truncated,http://192.168.1.2:18080,typed parse error before any state change,0,{  "success": true,  "message": "Total wallet balance: 0 sats",  "data": {    "balance_sats": 0  },  "timestamp": "2026-09-19T00:28:47.350594829Z"},{  "success": true,  "message": "Total wallet balance: 0 sats",  "data": {    "balance_sats": 0  },  "timestamp": "2026-09-19T00:28:47.93059805Z"},eefa3a803dbb069c83686c665e1953d6c8ac9a42a2be3f7efe7950aa02d80a55,eefa3a803dbb069c83686c665e1953d6c8ac9a42a2be3f7efe7950aa02d80a55,yes,6528,6528,yes,0,yes,FAIL,"{  \"success\": false,  \"error\": \"Failed to fund wallet: failed to receive token: could not get active keyset: error getting active keysets from mint: error reading response from mint: unexpected end of JSON input\",  \"timestamp\": \"2026-09-19T00:28:47.606932201Z\"}"
